Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22
#106 Cocktail,Tequila,Sage,Coupe glass,"Bartender: Chelsea Little, Bar: Olive & Oak, Location: St. Louis",Chinaco Blanco Tequila,1 oz,Luxardo Bitter Bianco,1 oz,Pear Syrup,0.5 oz,Lemon Juice,0.5 oz,Grey Sea Salt,,,,,,,,,,,,,,,,,,1: Shake And Double Strain Into A Coupe.,2: Garnish With Sage.,,,,,,,,,,,,,,,,,,,,
10 to 7,Gin,Lemon Peel Rind,Martini glass,"Bartender: Gabriele Modica, Bar: Farina, Location: San Francisco",No. 209 Gin,1 oz,Luxardo Maraschino Liqueur,1 oz,St. Germain,1 oz,Lemon Juice,1 oz,,,,,,,,,,,,,,,,,,,1: Shake And Serve Up In A Martini Glass With Lemon Peel Rind.,,,,,,,,,,,,,,,,,,,,,
1626,Whiskey,Unknown,Cocktail Glass,Unknown,Bourbon Whiskey,2.5 oz,Gingerbread Liqueur,0.75 oz,Cherry-Flavored Brandy,0.5 oz,Angostura Bitters,2 oz,Italian Preserved Cherry,1 oz,,,,,,,,,,,,,,,,,1: Shake well with ice and strain into chilled cocktail glass.,2: Garnish with cherry.,,,,,,,,,,,,,,,,,,,,
1880's Americana,Bourbon,Cola candied orange peel,Old Fashioned Glass,Unknown,Hirsch Small Batch Reserve Bourbon,2 oz,Amer Picon,10 ml,House Cola Syrup,10 ml,,,,,,,,,,,,,,,,,,,,,1: Build Over Ice In Old Fashioned Glass.,,,,,,,,,,,,,,,,,,,,,
19th Century,Whiskey,Unknown,Cocktail Glass,Unknown,Bourbon Whiskey,1.5 oz,Fresh Lemon Juice,0.75 oz,White Creme De Cacao,0.75 oz,Lillet Rouge,0.75 oz,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,
20th Century,Gin,Unknown,Unknown,Unknown,No.3 London Dry Gin,1.5 oz,Tempus Fugit Kina L'Aero D'Or,0.75 oz,Tempus Fugit Creme De Cacao,0.75 oz,Fresh Lemon Juice,0.75 oz,,,,,,,,,,,,,,,,,,,1: Shake With Ice.,2: Strain Into A Chilled Cocktail Glass.,,,,,,,,,,,,,,,,,,,,
3 Degrees,Gin,Sage,Martini glass,Unknown,No.3 London Dry Gin,1.75 oz,Velvet Falernum,0.75 oz,Lime Juice,0.5 oz,Pear Sage Foam,0.5 oz,Float Prosecco,1,,,,,,,,,,,,,,,,,"1: Combine All Ingredients With Ice, Shake, Strain Into Martini Glass, Top With Prosecco, Garnish With Sage.",,,,,,,,,,,,,,,,,,,,,
3AM,Gin,"Lime Wedge, Luxardo Cherry",Unknown,"Bartender: Dave Guest , Location: San Francisco",No.3 London Dry Gin,1.5 oz,H By Hine,0.75 oz,Luxardo Triplum (Triple Sec),0.75 oz,King'S Ginger Liqueur,0.5 oz,Fresh Lime Juice,0.5 oz,,,,,,,,,,,,,,,,,1: Shake All Ingredients With Ice And Strain Into An Iced Up Glass.,,,,,,,,,,,,,,,,,,,,,
50/50 Split,Gin,Lemon Twist,Coupe glass,Location: San Francisco,Junipero Gin,1.5 oz,Dry Vermouth,0.75 oz,Tempus Fugit Alessio Vermouth Bianco,0.75 oz,The Bitter Truth Orange Bitters,1 dash,,,,,,,,,,,,,,,,,,,1: Stir Gently And Garnish With A Lemon Twist.,,,,,,,,,,,,,,,,,,,,,
7th Heaven ,Gin,Lemon or Orange Peel,Martini glass,Unknown,No.3 London Dry Gin,1.5 oz,Luxardo Maraschino Liqueur,0.5 oz,Grapefruit Juice,1 oz,Pages Elderflower Syrup,0.25 oz,Angostura Bitters,1 dash,,,,,,,,,,,,,,,,,1: Shake All Ingredients In An Iced-Filled Cocktail Shaker.,2: Strain Into Chilled Martini Glass Or Cocktail Coupe.,,,,,,,,,,,,,,,,,,,,
A Botanical Garden,Vodka,Mint Sprig,Old Fashioned Glass,"Bartender: Danny Louie, Bar: Alembic, Location: San Francisco",Hophead Vodka,1.5 oz,Zirbenz Stone Pine,0.75 oz,Fresh Strawberry Juice W/ Xanthan Gum,0.75 oz,Lemon Juice,0.75 oz,Simple Syrup,0.5 oz,,,,,,,,,,,,,,,,,"1: Combine All Ingredients In A Shaking Tin And Give It A Short Shake, Five Seconds.",2: Strain Into An Old Fashined Glass With Three Medium Sized Ice Cubes.,,,,,,,,,,,,,,,,,,,,
A Love Song,Gin,Blood orange slice,Martini glass,"Bartender: Russell Davis, Location: San Francisco",No.3 London Dry Gin,1 oz,Maurin Quina,1 oz,Luxardo Bitter,0.5 oz,King'S Ginger Liqueur,0.5 oz,,,,,,,,,,,,,,,,,,,1: Combine All Ingredients Besides Blood Orange Into A Mixing Glass And Stir Until Proper Dilution (15-20 Seconds).,2: Pour Into A Small Martini Glass.,3: Rub A Thin Slice Of Blood Orange Around The Rim And Place In Drink.,,,,,,,,,,,,,,,,,,,
A Mi Manera (My Way) Pisco Punch,Pisco,Candied Pineapple Wheel,Punch Glass,Bartender: Francesco Lafranconi,Barsol Selecto Italia Pisco,2 oz,Luxardo Apricot Liqueur,1 oz,Minta Soda,2 oz,Citric Acid Or Lime Juice,1 pinch,Pineapple Sorbet,1 scoop,,,,,,,,,,,,,,,,,"1: Mix The Pisco, Apricot Liqueur And Citric Acid Ingredients Together In A Punch Bowl And Allow To Rest For 45 Minutes.",2: Place A Large 2.,3: 2 Lb.,4: Ice Block 10 Minutes Before Serving.,"5: Scoop The Pineapple Sorbet In A Punch Glass And Fill Up With The Mix, Top Up With Mint-Flavored Soda.",6: Garnish With Candied Pineapple Wheel From Dress The Drink.,,,,,,,,,,,,,,,,
A Regal Air ,King'S Ginger Liqueur,Unknown,Martini glass,"Bartender: Amy Lewis , Bar: One Sixty Blue, Location: Chicago, Ill",Domingo Perez Marin 'La Guita' Manzanilla Sherry,3 oz,King'S Ginger Liqueur,0.5 oz,Chartreuse,0.25 oz,Juice Of An Orange,0.25 oz,,,,,,,,,,,,,,,,,,,1: Combine These Ingredients And Roll Gently Over Ice And Strain Into A Martini Glass.,2: Top With Pumpkin Foam.,,,,,,,,,,,,,,,,,,,,
A Southern Jackass,King'S Ginger Liqueur,"Lemon Wheel, Sliver of Cinnamon-Candied Ginger",Old Fashioned Glass,"Bartender: Julian Miller, Bar: Partender, Location: San Francisco",Prichard'S Lincoln County Lightning,1.5 oz,King'S Ginger Liqueur,0.5 oz,Cinnamon-Candied Ginger Syrup,0.5 oz,Angostura Bitters,3 dash,,,,,,,,,,,,,,,,,,,1: Fill A Shaker With An Old Fashioned Glass Worth Of Ice.,2: Add All Ingredients Except For The Club Soda.,"3: Shake Vigorously For 20 Seconds, Then Dump Into Old Fashioned Glass.",4: Set Lemon Wheel And Sliver Of Cinnamon-Candied Ginger On Top Then Top With Club Soda.,5: Cinnamon Candied Ginger Syrup: Combine 1/4 Lb.,"6: Peeled Ginger Root (Sliced 1/8"" On A 45-Degree Bias Using A Mandolin), 2 Cups Of Water, And 4 Cinnamon Sticks In A Pot (Or Pan) And Bring To Cusp Of A Light Simmer.",7: Continue To Barely Simmer For 30 Minutes.,8: Add 1 Cup Of Demerara Sugar And Stir Until Fully Dissolved.,9: Lower Heat And Keep Just Below Simmering.,10: Continue To Heat Until Almost All Liquid Is Reduced And Remaining Sugar Is Just Beginning To Caramelize (2-3 Hours).,11: Remove From Heat And Spoon Slivers Of Ginger (Along With A Generous Dollop Of Now Thick Syrup) Onto A Sheet Of Parchment Or Wax Paper.,12: Let Cool For At Least 2 Hours Then Store Layered On The Paper Sealed In A Ziplock Bag.,13: Remove Cinnamon Sticks And Reserve Syrup.,,,,,,,,,
A Tall Tell,Prosecco,"Orange wheels studded with cloves, Mint sprigs",Unknown,"Bartender: Brian Means, Bar: Dirty Habit, Location: San Francisco",C. Drouin Calvados Selection,9 oz,Marrakesh Mint Tea,6 oz,Prosecco,6 oz,King'S Ginger Liqueur,3 oz,Lemon Juice,2 oz,Velvet Falernum,1.5 oz,Dale Degroff'S Pimento Aromatic Bitters,0.5 oz,,,,,,,,,,,,,1: Combine All The Ingredients Except Prosecco.,2: Add A Large Block Of Ice Or Large Ice Cubes And Stir.,3: Top With Prosecco.,4: Garnish With Orange Wheels Studded With Cloves And Float Some Mint Sprigs In The Bowl.,,,,,,,,,,,,,,,,,,
A. J.,Other,Unknown,Cocktail Glass,Unknown,Applejack,1.5 oz,Grapefruit Juice,1 oz,,,,,,,,,,,,,,,,,,,,,,,1: Shake with ice and strain into cocktail glass.,,,,,,,,,,,,,,,,,,,,,
